Risk_Description,Impact,Likelihood
Improper key management exposes encrypted data backups to risk of unrecoverable data loss,4,2
"Excessive retention periods on log data exceeds storage limits, causing critical monitoring gaps",2,3
Failure to isolate and segment industrial control networks allows malware spread from IT to OT systems,4,3
Weak mobile device management policies expose corporate data to apps with malware,3,4
Insufficient AWS IAM policies and privileges allow S3 bucket misconfiguration and data leaks,3,3
"Compromised IoT devices form botnet for DDoS attacks and crypto-mining, disrupting operations",3,4
Improper cloud architecture and redundancy causes widespread service disruptions during Azure outage,4,2
Weak identity and access controls on customer portal allow account takeover fraud,4,3
Unpatched ERP software vulnerable to exploit that allows remote code execution and data theft,5,4
Failure to renew TLS certificates causes errors on customer websites and inability to process payments,3,2
Lack of security incident response plan causes disorganized containment efforts during malware outbreak,3,3
Natural disaster destroys primary data center with inadequate failover capabilities to DR site,5,2
Improper network segmentation allows cryptomining malware to spread from user PCs to servers,3,4
Compromised third party vendor credentials used to access and manipulate B2B financial transactions,4,2
"Stolen end user laptop gives access to cached credentials for internal systems, allowing lateral movement",4,3
"Misconfigured firewall rule exposes internal DNS servers to the internet, allowing cache poisoning attacks",4,2
Failure to patch critical OS vulnerabilities allows ransomware to quickly encrypt file shares,5,4
Insufficient log retention and correlation prevents timely detection of initial intrusion activities,3,3
Compromised IoT devices allow man-in-the-middle attacks and DNS hijacking on internal network clients,4,2
Excessive third party access and poor vendor risk management expose networks to supply chain attacks,3,4
"Natural disaster or fire damages data center with insufficient failover capacity, causing prolonged outages",5,3
Improper asset inventory and vulnerability management allows exploits against unpatched systems,3,4
"Malicious insider exfiltrates customer data and deletes database records, causing regulatory violations",5,2
Social engineering through email phishing tricks users into downloading malware and disclosing credentials,3,4
"Extended power outage at primary data center causes all systems and infrastructure to go offline, leading to prolonged downtime and inability to serve customers",5,4
"Accidental deletion of critical database by administrator, requiring restore from 1 week old backup and potential data loss",4,2
"Cyber attack exploits unpatched vulnerability to gain access to file servers, allowing data theft and manipulation",5,3
"Failure of core network switch causes subnet outage, disrupting connectivity for multiple critical applications",3,4
"Malware infection spreads quickly across endpoints due to lacking antivirus software, impacting productivity and enabling data exfiltration",4,3
Improper firewall ruleset allows external attacker to access internal services and pivot throughout the network,5,2
"Misconfigured AWS S3 bucket exposes customer PII to the public internet, leading to data breach and regulatory noncompliance",4,3
"DoS attack overwhelms public-facing web server, taking customer portal and applications offline during peak business hours",3,4
Hard drive failure in RAID array leads to corrupted database requiring restoration from 3 day old backup,3,3
"Expired TLS certificate on load balancer breaks encryption for customer connections, enabling man-in-the-middle attacks",2,4
Lacking multi-factor authentication allows attacker to gain access to VPN using compromised credentials,4,3
Unpatched vulnerability in web application enables attacker to remotely execute code and steal customer data,5,3
Improper access controls on cloud storage allows any employee to view and exfiltrate sensitive documents,3,4
"Outdated operating systems no longer receive security patches, leaving vulnerabilities open to exploitation",4,5
Failure to encrypt laptop leads to device theft exposing unprotected customer data and credentials,5,2
Insufficient logging and monitoring prevents timely detection of unauthorized access and lateral movement,3,4
Weak passwords on IoT devices allow attackers access to internal network for reconnaissance and pivoting,3,4
"Natural disaster destroys primary data center with no failover plan in place, leading to prolonged outage",5,2
"Network misconfiguration causes routing loop, intermittently disrupting connectivity to critical servers",2,3
Compromised third party vendor credentials used to gain access and implant backdoors within the environment,4,2
"Expired certificates break client authentication, preventing access to VPN and other external services",3,4
Lacking backups of operational databases inhibits rapid restore in event of data corruption or deletion,3,5
"Spear phishing attack tricks employee into downloading trojan, enabling foothold within the network",4,3
Failure to keep systems patched and updated provides avenues for exploitation and lateral movement,3,4
Insider threat leads to data theft and sabotage of critical systems before departure from company,4,2
SQL injection attack results in database compromise and customer data theft,5,3
Unauthorized cloud storage misconfiguration exposes internal documents and credentials publicly,4,3
"Brute force attack cracks weak passwords on remote access portal, enabling network pivot",3,4
"DDoS attack saturates internet bandwidth, causing total outage of customer-facing applications",4,3
Malicious insider exfiltrates sensitive IP and sabotages systems prior to termination,5,1
Compromised IoT device provides backdoor access to internal network resources and data,3,4
"Cryptomining malware infection slowly consumes compute resources, impairing performance",2,5
"Mass malware phishing campaign overwhelms employees, leading to multiple infections",3,4
"Natural disaster destroys offline backups before they are replicated offsite, causing permanent data loss",4,2
Server firmware exploit provides persistent backdoor access even after reimaging the compromised system,4,2
Unpatched EOL operating systems exploited to pivot from compromised endpoint to core servers,3,3
"Ransomware infiltrates backups and production data, forcing system restores and downtime",5,3
Insufficient capacity planning leads to performance issues and interruptions during peak usage,2,4
"Loss of encryption keys locks company out of encrypted data, rendering it inaccessible",4,1
Compromised IoT device provides pivot point into OT infrastructure for industrial sabotage,4,2
"Extended power outage at primary data center from electrical grid failure, causing all systems and infrastructure to go offline leading to prolonged downtime",5,2
"Mass malware infection spreading through network from unpatched systems, disrupting operations through widespread system crashes and performance issues",4,3
"Accidental deletion of critical database by authorized user, requiring restoration from backups and potential data loss",3,2
"Failure of core network switch stack causing network-wide outage, disrupting all connectivity and availability of systems",5,1
"Targeted ransomware attack encrypting important file shares before spreading through the network, impacting operations and requiring payment",5,2
"Improper firewall rule change accidentally exposing critical servers publicly, allowing unauthorized remote access for manipulation/theft",4,2
"Natural disaster destroying on-prem data center facility, making all systems unusable until failover to DR site is complete",5,1
Compromised vendor credentials used to gain access to network for reconnaissance and lateral movement,3,3
Insufficient identity and access controls allowing unauthorized access to sensitive systems and data,4,4
"Security vulnerability in internet-facing app server being actively exploited before patch applied, enabling data theft",4,3
Undetected hardware failure in SAN storage array leads to corruption of stored data and requires restores,3,2
Backup failures going unnoticed over time resulting in unusable backups requiring re-baselining from original sources,2,3
Improper cloud configuration exposing databases publicly resulting in data theft before being discovered,4,2
DoS attack saturating internet bandwidth prevents access to cloud-hosted systems and data,3,3
Loss of encryption keys due to employee turnover makes stored data totally inaccessible without backups,4,1
Outdated operating systems no longer receiving security patches vulnerable to known exploits,3,4
Improper data deletion procedures allow sensitive data to be recovered after disposal,2,3
Lack of visibility into cloud usage and configurations leading to unchecked sprawl and cost overruns,2,4
Unauthorized changes to DNS records redirect traffic to malicious sites to steal login credentials,4,2
Weak passwords on admin accounts easily guessed or cracked allowing access for lateral movement,3,4
Improper segregation of duties enables privileged user to make unauthorized changes without oversight,3,3
Lack of robust logging and monitoring allows malicious activity to go undetected over time,3,4
Unpatched firmware vulnerabilities in network devices enable takeover for traffic manipulation,4,2
Improper encryption algorithm usage leads to easily cracked ciphertext allowing data theft,5,1
Shared account credentials enable former employee to retain access after termination,2,3
"Improper certificate management causes expired certificates on critical systems, disrupting services",2,4
Lack of adequate DDoS protection allows infrastructure overload from high volume attacks,3,3
Insufficient testing and validation of changes leads to widespread errors and outages after changes pushed,3,4
Uncontrolled personal devices connecting to network can introduce malware and vulnerabilities,2,4
Lack of adequate network segmentation enables lateral movement after perimeter is breached,3,3
"Improper key management exposes encrypted data through leaked, weak, or reused keys",4,2
Vulnerable code libraries integrated into proprietary applications enabling exploit of known vulnerabilities,3,4
Improper access request and approval processes allow unauthorized access to go unchallenged,2,4
Lack of business continuity planning makes recovering from disruptions difficult and prolonged,4,2
Improper cloud account configurations enable escalation of privileges for data theft and manipulation,3,2
Compromised supplier remote access account used to infiltrate network through trusted pathway,2,3
Weak mobile device management enables malware infections and network access from lost devices,2,4
Insufficient capacity planning leads to overloaded systems causing poor performance and downtime,2,4
Lack of physical security controls enables theft of equipment with sensitive data,3,2
Extended cloud service outage from regional failure interrupting business systems and preventing access to critical data,5,2
"Malware infection deleting files on accounting servers before recent backups are available, causing permanent financial record loss",4,3
Improper firewall rules allowing unauthorized access to proprietary source code repositories,3,4
Unpatched vulnerability in customer portal exploited to steal login credentials and customer data,5,3
"Accidental deletion of production database by junior admin without adequate backups, leading to irrecoverable loss of transactional data",5,1
Cryptolocker ransomware spread through phishing email encrypting files across network shares before they can be restored from backups,4,2
Weak access controls on privileged accounts allowing external attacker to gain control of core systems undetected,5,3
Failure to renew trusted TLS certificate on customer-facing web portal displaying security warnings to visitors,2,4
Improper data validation allowing SQL injection attack that deletes records from order database,4,3
"Overflow of logging partition crashing critical monitoring servers during peak traffic, causing visibility gap",3,2
Hardware failure of SAN storage device with rebuilding redundancy but potential for performance impact,2,3
Misconfigured network ACL accidentally exposing internal services to the public internet,4,2
Outdated version of framework with known vulnerability running on public-facing web server,3,4
Compromised vendor credentials used to pivot from third-party system into core network,5,1
"Accidental misconfiguration of routing blackholing traffic to core applications, causing total outage",5,1
Failure to patch endpoints allowing ransomware infiltration via phishing email impacting operations,4,3
Insufficient logging of access attempts obscuring malicious activity during security incident,2,4
Weak encryption algorithms used for sensitive data at rest vulnerable to cryptanalysis,4,2
Improper decommissioning of retired hardware with intact data storage accessible by unauthorized parties,3,3
Lack of MFA allowing cloud admin console to be accessed via stolen credentials,4,2
Unrestricted outbound internet access from data center appliances vulnerable to command and control communications,3,3
Improper segmentation placing internet-facing servers on same network zone as critical assets,4,3
Inadequate BC/DR planning unable to restore business operations within RTO after regional disruption,5,1
Lack of cloud configuration hardening leaving resources exposed to exploitation and manipulation,3,3
Insufficient log analysis and threat detection missing indicators of compromise during ongoing breach,4,2
Weak mobile device management allowing malware via unmanaged apps and network access,3,3
Uncontrolled personal device usage leading to unauthorized access to restricted data,4,2
Improper key management exposing encrypted data archives to brute force attacks,3,2
Outdated operating systems no longer receiving security patches containing public exploits,4,4
Inadequate vulnerability management and penetration testing regime failing to identify critical system flaws ,3,3
Poor identity and access controls allowing accumulation of excessive user privileges over time,4,3
Lack of physical access controls to data center granting unauthorized entry and theft of assets,3,2
Failure to update firewall rules to restrict new application server exposing unintended services,2,3
Unapproved cloud storage usage leading to unmanaged exfiltration of sensitive documents,4,2
Weak BYOD policies failing to enforce separation of work and personal applications and data,3,3
Improper system decommission allowing retired assets containing data to leave premises,4,2
Lack of accountability auditing privileged user actions across critical systems,3,3
Failure to sanitize hard drives from decommissioned workstations allowing data recovery,2,3
Weak mobile security standards allowing malware infection of managed devices,3,2
Improper access revocation for transferred/terminated employees retaining system credentials,4,2
"Critical database server failure due to corrupted system files requiring full restore from backups, causing extended downtime and potential data loss",5,3
"Unauthorized access to network infrastructure through compromised admin credentials, leading to potential data breaches and system manipulation",4,3
"Extended cloud service outage from region failure, disrupting business operations and preventing access to critical data",5,2
"Malware infection spreading through network shares due to unpatched vulnerabilities, infecting systems and causing widespread disruption",4,4
"Loss of internet connectivity from ISP failure, severing external communications and preventing remote access",3,2
"Web application denial of service attack saturating resources, preventing legitimate access and interrupting service",3,4
"Phishing campaign tricks employees into divulging credentials, allowing attackers access to sensitive systems",4,5
"Improper firewall rules exposing internal systems and data to the public internet, increasing attack surface",3,3
"Unencrypted laptop containing customer data stolen, leading to data breach and regulatory penalties",5,2
"Natural disaster destroying data center, causing catastrophic system failure and data loss",5,1
"Mass ransomware attack encrypting files across network shares before detection, disrupting operations",5,3
"Database breach through SQL injection vulnerability, exposing customer financial information",5,4
"Email server misconfiguration results in messages being sent externally, leaking sensitive data",4,3
"Failure to patch ERP system allows exploit of critical vulnerability, enabling remote code execution",5,4
Insufficient logging and monitoring prevents detection of intrusion before major damage inflicted,3,5
"Compromised vendor credentials used to access internal systems, allowing lateral movement",4,3
"Power outage knocks core network components offline, causing widespread availability issues",4,2
"Misconfigured firewall allows access to admin interfaces, enabling malicious reconfiguration",4,4
Outdated operating systems no longer receiving security patches open to known exploits,3,5
"Weak passwords across infrastructure exploited through brute force attack, enabling access",4,4
"Improper data destruction procedures result in customer data being recoverable, violating policies",4,2
"DDoS attack overwhelms web server resources, preventing customer access to services",4,3
"Unencrypted personal data transferred offsite via unsecured channels, violating regulations",5,2
"Insider threat results in deletion of key databases, disrupting operations and forcing restores",5,1
"Supply chain attack injects malware into software updates, infecting systems undetected",4,3
Improper access controls allow lower-privilege users to access and exfiltrate sensitive data,4,4
"Outdated SSL certificates rejected by browsers, preventing access to public web services",2,3
Failure to isolate test environments results in corruption of production data during trials,4,3
Lack of multi-factor authentication exposes VPN and remote access to compromise,3,4
Unpatched firmware vulnerabilities exploited to gain persistent foothold on network devices,4,3
Misconfigured AWS S3 buckets expose customer data and source code repositories publicly,5,4
Hacked IoT devices recruited into massive botnet for DDoS attacks on infrastructure,4,5
"Improper input validation enables command injection on backend, executing malicious code",5,3
Compromised user workstation pivoted to escalate privileges and move laterally internally,3,4
"Ransomware infiltrates via third-party provider VPN without MFA, encrypting critical shares",5,2
"Natural disaster destroys offsite backups before replication completes, losing data",4,1
Failure to segregate duties allows insider threat to embezzle funds undetected,3,2
"Spear phishing targeted at executives bypasses filters, enabling account takeover",4,4
Weak mobile device management policies result in malware infections spreading to network,3,5
Compromised code repository injects backdoor into software build pipeline undetected,4,3
Extended cloud service outage from regional failure interrupts business systems and prevents access to critical data,5,2
"Cryptolocker malware infection encrypts files on client machines, rendering data inaccessible without paying ransom",4,3
"Improper firewall ruleset allows malicious traffic to reach backend servers, enabling potential remote code execution",3,4
Failure of underprovisioned core network switch causes site-wide outage and inability to access systems,5,1
Weak authentication controls allow attacker to gain admin access and implant backdoors throughout environment,2,5
"Natural disaster destroys primary data center, requiring failover to secondary site with potential data loss",5,1
Unpatched vulnerability in customer-facing web application is exploited to steal sensitive customer information,4,4
"Backup system failure goes undetected, resulting in restore failures when recovery is needed",3,2
Incorrect security group misconfiguration exposes critical servers and databases to the public internet,4,3
Compromised vendor credentials used to pivot and gain access to internal systems via trusted connections,3,3
Insufficient log monitoring and alerting enables attacker persistence without detection,2,4
Failure to encrypt laptop leads to data breach when device is lost/stolen,3,3
Outdated identity provider allows terminated employee continued access after departure,2,4
Lack of MFA enables attackers to brute force VPN and gain network access,3,5
"Unpatched operating systems and software vulnerable to ransomware, viruses, and remote exploits",4,4
Improper key management exposes encrypted data by losing access to decryption keys,2,2
Insider threat results in intentional destruction of data or disruption of business operations,5,1
Power failure in data center causes extended outage to hosted systems and data unavailability,4,2
Improper access controls enable lower privileged users to access and exfiltrate sensitive data,3,3
Server misconfiguration exposes customer database and enables data theft,5,2
"Inability to detect DDoS attack saturates internet bandwidth, causing widespread outage",4,3
Failure to update expiring certificates breaks dependent systems that rely on valid https connections,2,4
Malicious insider with excessive access privileges exfiltrates intellectual property,4,1
"Untested disaster recovery plans fail when needed, resulting in prolonged downtime",5,1
Unrestricted lateral movement enables attacker to compromise critical assets after initial breach,3,4
Weak password policy allows brute force guessing of admin credentials via password spraying,2,5
Improper data sanitization of retired hardware leaves sensitive data exposed,4,1
Vulnerable code repositories expose application source code and credentials,3,3
Uncontrolled BYOD devices introduce malware inside trusted network perimeter,2,4
Expired SSL certificate causes customer-facing websites to display browser warnings,1,5
Inadequate logging and monitoring enables attackers to hide malicious activity,3,3
Improper cloud permissions enable exposure of confidential data,4,2
Shared accounts mask individual accountability and enable insider misuse,2,3
spear phishing campaign infects users with remote access Trojan malware,3,4
Natural disaster destroys underground fiber lines causing widespread connectivity loss,5,1
Overflow of logging database crashes critical monitoring system during major incident,2,3
Compromised IoT devices form botnet for DDoS attacks and malware command/control,3,2
Improper input validation enables remote code execution on public web forms,4,3
Outdated operating systems no longer receive critical security patches from vendors,3,4
Improper decommissioning of retired assets enables data recovery by unauthorized parties,2,2
Excessive retention of log data fills up storage and causes critical monitoring systems to fail,2,3
Unencrypted personal health data is exposed due to cloud misconfiguration,5,2
Insufficient testing and QA introduces severe software bugs and vulnerabilities into production,3,4
"Prolonged power outage at primary data center causes all systems and services to go offline, disrupting operations and preventing access to critical data until power is restored",5,4
"Accidental deletion of production database by admin without proper backups, resulting in permanent data loss and extended downtime",5,2
"Massive DDoS attack overwhelms network capacity, making public-facing services and infrastructure inaccessible to customers",4,3
"Improper firewall configuration exposes vulnerabilities, allowing malware or hackers to infiltrate the network and steal data",4,3
Failure of SAN storage system leads to unavailability of virtual machine infrastructure and hosted applications,5,3
"Malicious insider with elevated privileges deletes or corrupts critical system files, causing widespread outages",4,2
"Ransomware attack encrypts important files on client machines and servers, halting operations until ransom is paid or systems are restored",5,3
Expiration of TLS certificate on customer-facing web portal disrupts access and transactions until certificate is renewed,3,4
"Misconfigured network ACLs allow unauthorized traffic between subnets, circumventing security controls",3,3
Compromised VPN credentials provide backdoor access to corporate network for data exfiltration,4,2
Failure of air conditioning system in server room causes overheating and hardware failure until repaired,4,3
Improper patching of OS and software allows exploitation of severe vulnerabilities by hackers,4,4
Accidental misconfiguration of routing tables causes improper packet forwarding and network instability,3,3
Malware infection through phishing email cripples endpoint systems and spreads laterally inside the network,4,4
"Natural disaster like flood or fire destroys data center infrastructure, causing total outage until systems are restored",5,1
Targeted exploits against unpatched services lead to takeover of critical servers for crypto mining or botnets,4,3
Mass hardware failure from voltage spikes takes down virtualized application infrastructure,4,2
Storage array controller failure leads to inaccessibility of disk volumes containing databases and shares,5,2
"Excessive spam and phishing emails saturate email gateways, causing disruption to legitimate email flow",3,4
Expired domain registration makes public-facing websites and services unreachable,4,2
"Failure to renew SSL certificate disables client and server certificate authentication, disrupting access",3,3
Compromised developer workstation allows attackers access to source code repositories and insert malicious code,4,3
Physical theft of endpoint devices containing unencrypted sensitive data like customer records or credentials,5,1
Spear phishing convinces employees to transfer funds or send sensitive data to attacker,4,2
Security patches not applied promptly allow exploits like WannaCry ransomware to spread across the network,5,3
Insufficient logging and auditing prevents early detection of intrusions and delays incident response,3,3
Weak authentication mechanisms like default or weak passwords enable unauthorized access to infrastructure,4,4
Web application vulnerabilities like SQL injection or cross-site scripting lead to data theft or service disruption,4,3
Improper hardening and security configurations provide loopholes for attackers to exploit,3,4
Compromised IoT devices on corporate network allow pivoting to more sensitive systems and data exfiltration,3,2
Shared account credentials enable former employees to still access systems after termination,4,3
"Improper decommissioning of old hardware doesn't fully erase sensitive data, creating risk of data leaks",3,2
Lack of redundancy for critical systems and connectivity leads to extended outages during component failure,4,3
Unrestricted BYOD devices introduce malware and allow unauthorized access to internal resources,3,4
Improper access controls on cloud resources lead to data leaks or service disruptions,4,3
Inability to detect encrypted attacks and lateral movement enables adversaries to hide malicious activity,3,4
Improper separation of duties enables employee abuse of privileged access for data theft or fraud,4,2
Outdated legacy systems lack capabilities to enforce strong security controls and auditing,2,4
"Uncontrolled personal data processing, retention and sharing violates data protection regulations",4,3
Business-critical application failure from exceeding load capacity causes severe disruption until scaled,4,2
"Unrestricted access to administrative tools, scripts and utilities enables malicious activities",3,3
Extended cloud service outage from regional failure interrupts business operations and prevents access to critical systems,5,2
Accidental deletion of database by admin wiping out customer data with no easy way to restore from inadequate backups,5,1
"Cryptolocker malware infects files servers, encrypting all data and demanding ransom for decryption key",5,2
"Improper firewall rules allow malicious actor to scan and find exploitable services, leading to network breach",4,3
Weak authentication controls enable attacker to brute force VPN credentials and gain network access,4,2
Natural disaster destroys primary data center with inadequate DR site ready for full operations,5,1
"Misconfigured network gear exposes management interfaces to the internet, allowing external control",4,2
"Massive DDoS attack overwhelms internet bandwidth, causing multi-day outage for customers",4,3
Expired TLS certificate causes customer-facing websites and services to go offline,3,4
Underprovisioned capacity during peak usage degrades performance and causes service unavailability,3,3
"Unpatched server vulnerabilities exploited to install crypto-mining malware, consuming excessive resources",2,4
"Improper data validation allows SQL injection attack, exposing sensitive customer information",4,3
Failure to encrypt laptop leads to breach of customer data if device is lost or stolen,3,2
"Insufficient logging and monitoring allows intrusion to go undetected, enabling greater damage",3,4
Weak mobile app code enables injection of malware or exploits onto employee devices,3,2
Outdated operating systems no longer receiving security patches open vulnerabilities,4,3
"Poor capacity planning leads to exhausting storage during peak usage, causing service disruptions",3,2
Lack of redundancy for critical infrastructure leads to prolonged downtime during component failure,4,2
"Inadequate backup testing fails to uncover faults, resulting in failed restores when backups are needed",4,1
"No automated patch management allows vulnerabilities to persist, enabling exploits",3,3
Weak disaster recovery plan results in greatly extended restoration time objective after outage,2,3
Improper decommissioning of old equipment exposes data or enables system access,2,1
Lack of encryption enables interception of sensitive communications if network is breached,3,2
"Failure to segment network allows lateral movement during breach, amplifying damage",3,3
Running out of IP addresses slows growth and prevents scaling due to poor subnetting,2,1
Inability to detect brute force attacks enables compromise of user accounts,3,2
No MFA for admin accounts allows takeover of elevated privileges if credentials are leaked,4,2
Weak access controls enable lower level employee to access and exfiltrate sensitive data,3,2
Unrestricted USB devices spread malware infecting systems and potentially control networks,2,3
Improper cloud configuration exposes data or allows unauthorized access,3,2
No system inventory or asset management leads to unpatched and vulnerable systems,2,3
Lack of security staff training on policies and tools leads to misconfigurations and errors,2,4
No vendor security reviews enable supply chain attacks through trusted third parties,3,2
Failure to isolate test environments allows access from production into insecure systems,2,1
No logging review enables malicious activity to go unnoticed despite collected event data,2,3
Running untrusted containers allows takeover of shared kernel resources on host system,3,1
Unrestricted admin access without least privilege allows excessive permissions if abused,3,2
Lack of cloud security group and ACL hardening enables access between workloads,2,3
Shared credentials across multiple systems enables lateral movement during breach,3,2
No cloud infrastructure as code leads to manual errors and insecure deployments,2,4
"Weak mobile device management allows jailbreaking/rooting, disabling security controls",1,2
Failure to revoke old access permissions allows former employee logins after termination,2,1
No validation of certificate authority trust allows man-in-the-middle attacks on TLS,3,1
Lack of microsegmentation enables exploit of one workload to compromise others,3,2
"Ransomware infection spreads through network shares and encrypts mission critical file servers before recent backups can be restored, causing severe business disruption",5,4
Cyber attacker exploits unpatched vulnerability in customer database to extract sensitive PII and payment card data for financial fraud,4,3
"Storage array experiences multiple disk failures exceeding fault tolerance, causing data loss and application outages",5,2
"Network perimeter firewall fails open due to firmware bug, exposing internal systems and data to the internet",4,3
"DDoS attack saturates internet link with junk traffic, disrupting customer access and order processing capabilities",3,4
"Hurricane causes extended utility outage at primary data center, depleting UPS and generator fuel supplies leading to service disruption",5,2
Accidental deletion of virtual machine images and backups by junior admin without change control approval or recovery verification,4,3
Malicious insider with elevated network privileges silently exfiltrates intellectual property over an extended period,4,2
Improper sanitization of decommissioned servers results in unauthorized access to old data by external buyers of used equipment,3,3
Massive botnet leverages stolen RDP credentials to install crypto-mining malware on critical application servers,3,4
Failure of inadequate cooling system in server room causes widespread hardware failures and application crashes,4,3
"Unsupported operating system in legacy environment reaches end of life, no longer receiving critical security updates",3,4
"Cloud provider outage caused by network failure in single region affects replicated workloads, violating customer SLAs",4,3
Compromised vendor credentials used to pivot from managed service network into customer systems to install backdoors,5,2
"Hacker exploits vulnerable web application to inject malicious code into customer database, extracting and altering records",4,4
Improper access controls on cloud storage bucket allows anyone to access sensitive documents and system credentials,4,4
Failure to patch or upgrade end-of-life network devices provides attack vector for ransomware that spreads across network,5,3
"Improper firewall rule exposes administrative interface of core network switch to the internet, allowing remote takeover",4,2
"Phishing campaign tricks employees into downloading trojan, allowing attacker remote access and control over endpoints",3,4
Core router firmware compromised by malicious supply chain actor prior to installation in network,5,1
"Untested configuration change to Active Directory blocks authentication, preventing access to critical systems and data",5,2
Weak passwords used across most internal systems allows lateral movement after initial breach for greater damage,4,4
Failure to renew TLS certificate on customer-facing web server causes outages and errors until replaced,3,4
Lack of proper backup verification and testing prevents recovery of essential data after storage array failure,5,3
No security patching or hardening performed on default installations of new servers and software,4,5
Insufficient logging or monitoring of critical systems provides inadequate visibility to detect or investigate a breach,3,5
"Congestion and latency on internet link degrades performance of cloud-based applications, impacting productivity",2,4
Unrestricted outbound internet access allows malware to exfiltrate sensitive data after compromising endpoint,4,3
Improper separation of duties allows privileged user to make unauthorized changes without independent approval,3,3
Inadequate capacity planning causes core application server performance to degrade during peak usage periods,2,4
Failure to replace expiring code signing certificate blocks software updates and patches to user devices,2,3
"Remote takeover of HVAC systems by attacker causes overheating in data center, damaging hardware",4,2
Shared account used for administration prevents proper tracking of changes and accountability,3,4
No enforcement of MFA for VPN access provides easy remote foothold for attackers to pivot after phishing users,4,4
Improper access controls on cloud infrastructure allows creation of unauthorized instances and crypto-mining,3,3
Compromised third party vendor network used to pivot and exploit trust relationships into customer systems,4,2
Failure to renew domain registration causes outage of customer-facing applications and email delivery failures,3,2
"Uncontrolled personal devices allowed to connect to internal network with internet access, bypassing security controls",2,4
"Improper hardening of server builds allows critical vulnerabilities to persist into production, enabling exploits",4,3
Lack of encryption on employee laptops and removable media results in data breach if devices are lost/stolen,3,4
Outdated WiFi protocol with weak encryption allows unauthorized network access and man-in-the-middle attacks,3,3
Failure to establish backup power interconnect between redundant PDUs leads to extended outages during power loss,5,2
Unrestricted administrative privileges on user workstations enable malware to spread between endpoints,3,4
"Critical firewall outage due to corrupted firmware during failed update, causing complete network disruption and loss of security protections",5,4
"Massive distributed denial-of-service (DDoS) attack overwhelming network capacity, leading to widespread service degradation or total outage",5,2
"Prolonged power failure in data center from electrical fault, causing extended outage of critical systems and data loss",5,3
"Accidental deletion of production database by admin during maintenance, requiring restoration from incomplete backups",4,2
"Cryptomalware infection rapidly spreading between systems via network shares, encrypting critical data and disrupting operations",5,3
Improper data center cooling system configuration causing overheating and failure of multiple servers,4,4
"Expired TLS certificates on customer-facing web services, leading to loss of secure connections and data exposure",3,4
Compromised developer workstation allowing attackers access to source code repositories and backend systems,4,3
Misconfigured network ACL improperly exposing critical servers and databases to the public internet,4,2
Failed SAN firmware update corrupting disk arrays and causing data loss across multiple systems,5,1
Compromised VPN credentials allowing unauthorized remote access to internal network resources,4,3
Improper access controls on cloud storage leading to mass download of sensitive documents,3,3
"Unpatched critical OS vulnerabilities on public-facing systems, enabling remote code execution and system compromise",5,4
Failure of inadequate backup systems to fully restore lost or corrupted data,4,3
Insufficient log monitoring and alerting leading to delayed detection of malicious activity,3,4
Weak encryption algorithms used for sensitive data at rest and in transit,4,2
Untested disaster recovery plans failing to restore critical systems within RTO,5,1
Inadequate network segmentation allowing lateral attacker movement across infrastructure,4,3
Unauthorized insider access due to poor access controls and audit logging,3,2
Supply chain attack injecting malware into software dependencies before deployment,4,2
Natural disaster destroying data center and rendering all systems inoperable,5,1
Improper cloud service configurations exposing systems and data to the open internet,4,3
Uncontrolled BYOD devices introducing malware inside the corporate network perimeter,3,4
Targeted social engineering attacks tricking users into revealing credentials,3,5
Failure to patch EOL systems allowing exploitation of publicly known vulnerabilities,4,3
Lack of security awareness among employees leading to increased phishing susceptibility,3,5
Weak authentication mechanisms allowing brute force credential attacks,4,4
Improper key management exposing encrypted data through loss of keys,4,2
Inadequate business continuity planning unable to support operations during prolonged outages,4,2
Unrestricted third-party library usage leading to supply chain compromise via malicious code,4,3
Weak mobile device management enabling loss or theft of unsecured company data,3,4
Compromised IoT devices providing backdoor network access and DDoS bots,3,3
Poor secure coding practices introducing vulnerabilities into web applications,4,4
Misconfigured cloud databases allowing public exposure of sensitive records,4,2
Failure to classify and separate data based on sensitivity levels,3,3
Lack of redundancy for critical systems leading to single points of failure,4,3
Improper decommissioning of old equipment causing data leaks from disposed assets,3,2
"Insufficient identity, credential, and access management controls",3,4
Inadequate vendor risk management for third-party service providers,3,3
Lack of data backup and retention policies leading to permanent data loss,4,2
Unpatched firmware and software in embedded systems and appliances,3,3
Improper access revocation for terminated employees' accounts and credentials,3,4
"Extended power outage at primary data center causes all systems and infrastructure to go offline, leading to prolonged downtime and inability to serve customers",5,4
"Malicious insider with elevated access privileges steals sensitive customer data and intellectual property, causing severe reputational damage",5,2
"Massive DDoS attack overwhelms network infrastructure, taking critical applications and services offline during peak business hours",4,3
"Accidental deletion of production database by admin without proper backups, resulting in permanent data loss",5,1
Unpatched vulnerability in web server software allows hackers to gain control and install malware for data exfiltration,4,4
Improper firewall rules allow external attacker to access and manipulate internal systems and data,4,3
"Failure of HVAC system in server room causes overheating and hardware failure, disrupting operations",3,2
"Misconfigured network switch causes routing loop, intermittently taking parts of the network offline",2,3
"Malware infection spreads quickly across endpoints due to weak controls, impacting productivity",3,4
Improper DR plan leads to significantly longer recovery time and greater data loss during outage,4,2
"Inability to restore from backups due to undetected corruption, extending downtime",5,1
